"","body_mass_g","culmen_length_mm","species"
"1",3750,39.1,"Adelie Penguin (Pygoscelis adeliae)"
"2",3800,39.5,"Adelie Penguin (Pygoscelis adeliae)"
"3",3250,40.3,"Adelie Penguin (Pygoscelis adeliae)"
"4",3450,36.7,"Adelie Penguin (Pygoscelis adeliae)"
"5",3650,39.3,"Adelie Penguin (Pygoscelis adeliae)"
"6",3625,38.9,"Adelie Penguin (Pygoscelis adeliae)"
"7",4675,39.2,"Adelie Penguin (Pygoscelis adeliae)"
"8",3475,34.1,"Adelie Penguin (Pygoscelis adeliae)"
"9",4250,42,"Adelie Penguin (Pygoscelis adeliae)"
"10",3300,37.8,"Adelie Penguin (Pygoscelis adeliae)"
"11",3700,37.8,"Adelie Penguin (Pygoscelis adeliae)"
"12",3200,41.1,"Adelie Penguin (Pygoscelis adeliae)"
"13",3800,38.6,"Adelie Penguin (Pygoscelis adeliae)"
"14",4400,34.6,"Adelie Penguin (Pygoscelis adeliae)"
"15",3700,36.6,"Adelie Penguin (Pygoscelis adeliae)"
"16",3450,38.7,"Adelie Penguin (Pygoscelis adeliae)"
"17",4500,42.5,"Adelie Penguin (Pygoscelis adeliae)"
"18",3325,34.4,"Adelie Penguin (Pygoscelis adeliae)"
"19",4200,46,"Adelie Penguin (Pygoscelis adeliae)"
"20",3400,37.8,"Adelie Penguin (Pygoscelis adeliae)"
"21",3600,37.7,"Adelie Penguin (Pygoscelis adeliae)"
"22",3800,35.9,"Adelie Penguin (Pygoscelis adeliae)"
"23",3950,38.2,"Adelie Penguin (Pygoscelis adeliae)"
"24",3800,38.8,"Adelie Penguin (Pygoscelis adeliae)"
"25",3800,35.3,"Adelie Penguin (Pygoscelis adeliae)"
"26",3550,40.6,"Adelie Penguin (Pygoscelis adeliae)"
"27",3200,40.5,"Adelie Penguin (Pygoscelis adeliae)"
"28",3150,37.9,"Adelie Penguin (Pygoscelis adeliae)"
"29",3950,40.5,"Adelie Penguin (Pygoscelis adeliae)"
"30",3250,39.5,"Adelie Penguin (Pygoscelis adeliae)"
"31",3900,37.2,"Adelie Penguin (Pygoscelis adeliae)"
"32",3300,39.5,"Adelie Penguin (Pygoscelis adeliae)"
"33",3900,40.9,"Adelie Penguin (Pygoscelis adeliae)"
"34",3325,36.4,"Adelie Penguin (Pygoscelis adeliae)"
"35",4150,39.2,"Adelie Penguin (Pygoscelis adeliae)"
"36",3950,38.8,"Adelie Penguin (Pygoscelis adeliae)"
"37",3550,42.2,"Adelie Penguin (Pygoscelis adeliae)"
"38",3300,37.6,"Adelie Penguin (Pygoscelis adeliae)"
"39",4650,39.8,"Adelie Penguin (Pygoscelis adeliae)"
"40",3150,36.5,"Adelie Penguin (Pygoscelis adeliae)"
"41",3900,40.8,"Adelie Penguin (Pygoscelis adeliae)"
"42",3100,36,"Adelie Penguin (Pygoscelis adeliae)"
"43",4400,44.1,"Adelie Penguin (Pygoscelis adeliae)"
"44",3000,37,"Adelie Penguin (Pygoscelis adeliae)"
"45",4600,39.6,"Adelie Penguin (Pygoscelis adeliae)"
"46",3425,41.1,"Adelie Penguin (Pygoscelis adeliae)"
"47",2975,37.5,"Adelie Penguin (Pygoscelis adeliae)"
"48",3450,36,"Adelie Penguin (Pygoscelis adeliae)"
"49",4150,42.3,"Adelie Penguin (Pygoscelis adeliae)"
"50",3500,39.6,"Adelie Penguin (Pygoscelis adeliae)"
"51",4300,40.1,"Adelie Penguin (Pygoscelis adeliae)"
"52",3450,35,"Adelie Penguin (Pygoscelis adeliae)"
"53",4050,42,"Adelie Penguin (Pygoscelis adeliae)"
"54",2900,34.5,"Adelie Penguin (Pygoscelis adeliae)"
"55",3700,41.4,"Adelie Penguin (Pygoscelis adeliae)"
"56",3550,39,"Adelie Penguin (Pygoscelis adeliae)"
"57",3800,40.6,"Adelie Penguin (Pygoscelis adeliae)"
"58",2850,36.5,"Adelie Penguin (Pygoscelis adeliae)"
"59",3750,37.6,"Adelie Penguin (Pygoscelis adeliae)"
"60",3150,35.7,"Adelie Penguin (Pygoscelis adeliae)"
"61",4400,41.3,"Adelie Penguin (Pygoscelis adeliae)"
"62",3600,37.6,"Adelie Penguin (Pygoscelis adeliae)"
"63",4050,41.1,"Adelie Penguin (Pygoscelis adeliae)"
"64",2850,36.4,"Adelie Penguin (Pygoscelis adeliae)"
"65",3950,41.6,"Adelie Penguin (Pygoscelis adeliae)"
"66",3350,35.5,"Adelie Penguin (Pygoscelis adeliae)"
"67",4100,41.1,"Adelie Penguin (Pygoscelis adeliae)"
"68",3050,35.9,"Adelie Penguin (Pygoscelis adeliae)"
"69",4450,41.8,"Adelie Penguin (Pygoscelis adeliae)"
"70",3600,33.5,"Adelie Penguin (Pygoscelis adeliae)"
"71",3900,39.7,"Adelie Penguin (Pygoscelis adeliae)"
"72",3550,39.6,"Adelie Penguin (Pygoscelis adeliae)"
"73",4150,45.8,"Adelie Penguin (Pygoscelis adeliae)"
"74",3700,35.5,"Adelie Penguin (Pygoscelis adeliae)"
"75",4250,42.8,"Adelie Penguin (Pygoscelis adeliae)"
"76",3700,40.9,"Adelie Penguin (Pygoscelis adeliae)"
"77",3900,37.2,"Adelie Penguin (Pygoscelis adeliae)"
"78",3550,36.2,"Adelie Penguin (Pygoscelis adeliae)"
"79",4000,42.1,"Adelie Penguin (Pygoscelis adeliae)"
"80",3200,34.6,"Adelie Penguin (Pygoscelis adeliae)"
"81",4700,42.9,"Adelie Penguin (Pygoscelis adeliae)"
"82",3800,36.7,"Adelie Penguin (Pygoscelis adeliae)"
"83",4200,35.1,"Adelie Penguin (Pygoscelis adeliae)"
"84",3350,37.3,"Adelie Penguin (Pygoscelis adeliae)"
"85",3550,41.3,"Adelie Penguin (Pygoscelis adeliae)"
"86",3800,36.3,"Adelie Penguin (Pygoscelis adeliae)"
"87",3500,36.9,"Adelie Penguin (Pygoscelis adeliae)"
"88",3950,38.3,"Adelie Penguin (Pygoscelis adeliae)"
"89",3600,38.9,"Adelie Penguin (Pygoscelis adeliae)"
"90",3550,35.7,"Adelie Penguin (Pygoscelis adeliae)"
"91",4300,41.1,"Adelie Penguin (Pygoscelis adeliae)"
"92",3400,34,"Adelie Penguin (Pygoscelis adeliae)"
"93",4450,39.6,"Adelie Penguin (Pygoscelis adeliae)"
"94",3300,36.2,"Adelie Penguin (Pygoscelis adeliae)"
"95",4300,40.8,"Adelie Penguin (Pygoscelis adeliae)"
"96",3700,38.1,"Adelie Penguin (Pygoscelis adeliae)"
"97",4350,40.3,"Adelie Penguin (Pygoscelis adeliae)"
"98",2900,33.1,"Adelie Penguin (Pygoscelis adeliae)"
"99",4100,43.2,"Adelie Penguin (Pygoscelis adeliae)"
"100",3725,35,"Adelie Penguin (Pygoscelis adeliae)"
"101",4725,41,"Adelie Penguin (Pygoscelis adeliae)"
"102",3075,37.7,"Adelie Penguin (Pygoscelis adeliae)"
"103",4250,37.8,"Adelie Penguin (Pygoscelis adeliae)"
"104",2925,37.9,"Adelie Penguin (Pygoscelis adeliae)"
"105",3550,39.7,"Adelie Penguin (Pygoscelis adeliae)"
"106",3750,38.6,"Adelie Penguin (Pygoscelis adeliae)"
"107",3900,38.2,"Adelie Penguin (Pygoscelis adeliae)"
"108",3175,38.1,"Adelie Penguin (Pygoscelis adeliae)"
"109",4775,43.2,"Adelie Penguin (Pygoscelis adeliae)"
"110",3825,38.1,"Adelie Penguin (Pygoscelis adeliae)"
"111",4600,45.6,"Adelie Penguin (Pygoscelis adeliae)"
"112",3200,39.7,"Adelie Penguin (Pygoscelis adeliae)"
"113",4275,42.2,"Adelie Penguin (Pygoscelis adeliae)"
"114",3900,39.6,"Adelie Penguin (Pygoscelis adeliae)"
"115",4075,42.7,"Adelie Penguin (Pygoscelis adeliae)"
"116",2900,38.6,"Adelie Penguin (Pygoscelis adeliae)"
"117",3775,37.3,"Adelie Penguin (Pygoscelis adeliae)"
"118",3350,35.7,"Adelie Penguin (Pygoscelis adeliae)"
"119",3325,41.1,"Adelie Penguin (Pygoscelis adeliae)"
"120",3150,36.2,"Adelie Penguin (Pygoscelis adeliae)"
"121",3500,37.7,"Adelie Penguin (Pygoscelis adeliae)"
"122",3450,40.2,"Adelie Penguin (Pygoscelis adeliae)"
"123",3875,41.4,"Adelie Penguin (Pygoscelis adeliae)"
"124",3050,35.2,"Adelie Penguin (Pygoscelis adeliae)"
"125",4000,40.6,"Adelie Penguin (Pygoscelis adeliae)"
"126",3275,38.8,"Adelie Penguin (Pygoscelis adeliae)"
"127",4300,41.5,"Adelie Penguin (Pygoscelis adeliae)"
"128",3050,39,"Adelie Penguin (Pygoscelis adeliae)"
"129",4000,44.1,"Adelie Penguin (Pygoscelis adeliae)"
"130",3325,38.5,"Adelie Penguin (Pygoscelis adeliae)"
"131",3500,43.1,"Adelie Penguin (Pygoscelis adeliae)"
"132",3500,36.8,"Adelie Penguin (Pygoscelis adeliae)"
"133",4475,37.5,"Adelie Penguin (Pygoscelis adeliae)"
"134",3425,38.1,"Adelie Penguin (Pygoscelis adeliae)"
"135",3900,41.1,"Adelie Penguin (Pygoscelis adeliae)"
"136",3175,35.6,"Adelie Penguin (Pygoscelis adeliae)"
"137",3975,40.2,"Adelie Penguin (Pygoscelis adeliae)"
"138",3400,37,"Adelie Penguin (Pygoscelis adeliae)"
"139",4250,39.7,"Adelie Penguin (Pygoscelis adeliae)"
"140",3400,40.2,"Adelie Penguin (Pygoscelis adeliae)"
"141",3475,40.6,"Adelie Penguin (Pygoscelis adeliae)"
"142",3050,32.1,"Adelie Penguin (Pygoscelis adeliae)"
"143",3725,40.7,"Adelie Penguin (Pygoscelis adeliae)"
"144",3000,37.3,"Adelie Penguin (Pygoscelis adeliae)"
"145",3650,39,"Adelie Penguin (Pygoscelis adeliae)"
"146",4250,39.2,"Adelie Penguin (Pygoscelis adeliae)"
"147",3475,36.6,"Adelie Penguin (Pygoscelis adeliae)"
"148",3450,36,"Adelie Penguin (Pygoscelis adeliae)"
"149",3750,37.8,"Adelie Penguin (Pygoscelis adeliae)"
"150",3700,36,"Adelie Penguin (Pygoscelis adeliae)"
"151",4000,41.5,"Adelie Penguin (Pygoscelis adeliae)"
"152",4500,46.1,"Gentoo penguin (Pygoscelis papua)"
"153",5700,50,"Gentoo penguin (Pygoscelis papua)"
"154",4450,48.7,"Gentoo penguin (Pygoscelis papua)"
"155",5700,50,"Gentoo penguin (Pygoscelis papua)"
"156",5400,47.6,"Gentoo penguin (Pygoscelis papua)"
"157",4550,46.5,"Gentoo penguin (Pygoscelis papua)"
"158",4800,45.4,"Gentoo penguin (Pygoscelis papua)"
"159",5200,46.7,"Gentoo penguin (Pygoscelis papua)"
"160",4400,43.3,"Gentoo penguin (Pygoscelis papua)"
"161",5150,46.8,"Gentoo penguin (Pygoscelis papua)"
"162",4650,40.9,"Gentoo penguin (Pygoscelis papua)"
"163",5550,49,"Gentoo penguin (Pygoscelis papua)"
"164",4650,45.5,"Gentoo penguin (Pygoscelis papua)"
"165",5850,48.4,"Gentoo penguin (Pygoscelis papua)"
"166",4200,45.8,"Gentoo penguin (Pygoscelis papua)"
"167",5850,49.3,"Gentoo penguin (Pygoscelis papua)"
"168",4150,42,"Gentoo penguin (Pygoscelis papua)"
"169",6300,49.2,"Gentoo penguin (Pygoscelis papua)"
"170",4800,46.2,"Gentoo penguin (Pygoscelis papua)"
"171",5350,48.7,"Gentoo penguin (Pygoscelis papua)"
"172",5700,50.2,"Gentoo penguin (Pygoscelis papua)"
"173",5000,45.1,"Gentoo penguin (Pygoscelis papua)"
"174",4400,46.5,"Gentoo penguin (Pygoscelis papua)"
"175",5050,46.3,"Gentoo penguin (Pygoscelis papua)"
"176",5000,42.9,"Gentoo penguin (Pygoscelis papua)"
"177",5100,46.1,"Gentoo penguin (Pygoscelis papua)"
"178",4100,44.5,"Gentoo penguin (Pygoscelis papua)"
"179",5650,47.8,"Gentoo penguin (Pygoscelis papua)"
"180",4600,48.2,"Gentoo penguin (Pygoscelis papua)"
"181",5550,50,"Gentoo penguin (Pygoscelis papua)"
"182",5250,47.3,"Gentoo penguin (Pygoscelis papua)"
"183",4700,42.8,"Gentoo penguin (Pygoscelis papua)"
"184",5050,45.1,"Gentoo penguin (Pygoscelis papua)"
"185",6050,59.6,"Gentoo penguin (Pygoscelis papua)"
"186",5150,49.1,"Gentoo penguin (Pygoscelis papua)"
"187",5400,48.4,"Gentoo penguin (Pygoscelis papua)"
"188",4950,42.6,"Gentoo penguin (Pygoscelis papua)"
"189",5250,44.4,"Gentoo penguin (Pygoscelis papua)"
"190",4350,44,"Gentoo penguin (Pygoscelis papua)"
"191",5350,48.7,"Gentoo penguin (Pygoscelis papua)"
"192",3950,42.7,"Gentoo penguin (Pygoscelis papua)"
"193",5700,49.6,"Gentoo penguin (Pygoscelis papua)"
"194",4300,45.3,"Gentoo penguin (Pygoscelis papua)"
"195",4750,49.6,"Gentoo penguin (Pygoscelis papua)"
"196",5550,50.5,"Gentoo penguin (Pygoscelis papua)"
"197",4900,43.6,"Gentoo penguin (Pygoscelis papua)"
"198",4200,45.5,"Gentoo penguin (Pygoscelis papua)"
"199",5400,50.5,"Gentoo penguin (Pygoscelis papua)"
"200",5100,44.9,"Gentoo penguin (Pygoscelis papua)"
"201",5300,45.2,"Gentoo penguin (Pygoscelis papua)"
"202",4850,46.6,"Gentoo penguin (Pygoscelis papua)"
"203",5300,48.5,"Gentoo penguin (Pygoscelis papua)"
"204",4400,45.1,"Gentoo penguin (Pygoscelis papua)"
"205",5000,50.1,"Gentoo penguin (Pygoscelis papua)"
"206",4900,46.5,"Gentoo penguin (Pygoscelis papua)"
"207",5050,45,"Gentoo penguin (Pygoscelis papua)"
"208",4300,43.8,"Gentoo penguin (Pygoscelis papua)"
"209",5000,45.5,"Gentoo penguin (Pygoscelis papua)"
"210",4450,43.2,"Gentoo penguin (Pygoscelis papua)"
"211",5550,50.4,"Gentoo penguin (Pygoscelis papua)"
"212",4200,45.3,"Gentoo penguin (Pygoscelis papua)"
"213",5300,46.2,"Gentoo penguin (Pygoscelis papua)"
"214",4400,45.7,"Gentoo penguin (Pygoscelis papua)"
"215",5650,54.3,"Gentoo penguin (Pygoscelis papua)"
"216",4700,45.8,"Gentoo penguin (Pygoscelis papua)"
"217",5700,49.8,"Gentoo penguin (Pygoscelis papua)"
"218",4650,46.2,"Gentoo penguin (Pygoscelis papua)"
"219",5800,49.5,"Gentoo penguin (Pygoscelis papua)"
"220",4700,43.5,"Gentoo penguin (Pygoscelis papua)"
"221",5550,50.7,"Gentoo penguin (Pygoscelis papua)"
"222",4750,47.7,"Gentoo penguin (Pygoscelis papua)"
"223",5000,46.4,"Gentoo penguin (Pygoscelis papua)"
"224",5100,48.2,"Gentoo penguin (Pygoscelis papua)"
"225",5200,46.5,"Gentoo penguin (Pygoscelis papua)"
"226",4700,46.4,"Gentoo penguin (Pygoscelis papua)"
"227",5800,48.6,"Gentoo penguin (Pygoscelis papua)"
"228",4600,47.5,"Gentoo penguin (Pygoscelis papua)"
"229",6000,51.1,"Gentoo penguin (Pygoscelis papua)"
"230",4750,45.2,"Gentoo penguin (Pygoscelis papua)"
"231",5950,45.2,"Gentoo penguin (Pygoscelis papua)"
"232",4625,49.1,"Gentoo penguin (Pygoscelis papua)"
"233",5450,52.5,"Gentoo penguin (Pygoscelis papua)"
"234",4725,47.4,"Gentoo penguin (Pygoscelis papua)"
"235",5350,50,"Gentoo penguin (Pygoscelis papua)"
"236",4750,44.9,"Gentoo penguin (Pygoscelis papua)"
"237",5600,50.8,"Gentoo penguin (Pygoscelis papua)"
"238",4600,43.4,"Gentoo penguin (Pygoscelis papua)"
"239",5300,51.3,"Gentoo penguin (Pygoscelis papua)"
"240",4875,47.5,"Gentoo penguin (Pygoscelis papua)"
"241",5550,52.1,"Gentoo penguin (Pygoscelis papua)"
"242",4950,47.5,"Gentoo penguin (Pygoscelis papua)"
"243",5400,52.2,"Gentoo penguin (Pygoscelis papua)"
"244",4750,45.5,"Gentoo penguin (Pygoscelis papua)"
"245",5650,49.5,"Gentoo penguin (Pygoscelis papua)"
"246",4850,44.5,"Gentoo penguin (Pygoscelis papua)"
"247",5200,50.8,"Gentoo penguin (Pygoscelis papua)"
"248",4925,49.4,"Gentoo penguin (Pygoscelis papua)"
"249",4875,46.9,"Gentoo penguin (Pygoscelis papua)"
"250",4625,48.4,"Gentoo penguin (Pygoscelis papua)"
"251",5250,51.1,"Gentoo penguin (Pygoscelis papua)"
"252",4850,48.5,"Gentoo penguin (Pygoscelis papua)"
"253",5600,55.9,"Gentoo penguin (Pygoscelis papua)"
"254",4975,47.2,"Gentoo penguin (Pygoscelis papua)"
"255",5500,49.1,"Gentoo penguin (Pygoscelis papua)"
"256",4725,47.3,"Gentoo penguin (Pygoscelis papua)"
"257",5500,46.8,"Gentoo penguin (Pygoscelis papua)"
"258",4700,41.7,"Gentoo penguin (Pygoscelis papua)"
"259",5500,53.4,"Gentoo penguin (Pygoscelis papua)"
"260",4575,43.3,"Gentoo penguin (Pygoscelis papua)"
"261",5500,48.1,"Gentoo penguin (Pygoscelis papua)"
"262",5000,50.5,"Gentoo penguin (Pygoscelis papua)"
"263",5950,49.8,"Gentoo penguin (Pygoscelis papua)"
"264",4650,43.5,"Gentoo penguin (Pygoscelis papua)"
"265",5500,51.5,"Gentoo penguin (Pygoscelis papua)"
"266",4375,46.2,"Gentoo penguin (Pygoscelis papua)"
"267",5850,55.1,"Gentoo penguin (Pygoscelis papua)"
"268",4875,44.5,"Gentoo penguin (Pygoscelis papua)"
"269",6000,48.8,"Gentoo penguin (Pygoscelis papua)"
"270",4925,47.2,"Gentoo penguin (Pygoscelis papua)"
"271",4850,46.8,"Gentoo penguin (Pygoscelis papua)"
"272",5750,50.4,"Gentoo penguin (Pygoscelis papua)"
"273",5200,45.2,"Gentoo penguin (Pygoscelis papua)"
"274",5400,49.9,"Gentoo penguin (Pygoscelis papua)"
"275",3500,46.5,"Chinstrap penguin (Pygoscelis antarctica)"
"276",3900,50,"Chinstrap penguin (Pygoscelis antarctica)"
"277",3650,51.3,"Chinstrap penguin (Pygoscelis antarctica)"
"278",3525,45.4,"Chinstrap penguin (Pygoscelis antarctica)"
"279",3725,52.7,"Chinstrap penguin (Pygoscelis antarctica)"
"280",3950,45.2,"Chinstrap penguin (Pygoscelis antarctica)"
"281",3250,46.1,"Chinstrap penguin (Pygoscelis antarctica)"
"282",3750,51.3,"Chinstrap penguin (Pygoscelis antarctica)"
"283",4150,46,"Chinstrap penguin (Pygoscelis antarctica)"
"284",3700,51.3,"Chinstrap penguin (Pygoscelis antarctica)"
"285",3800,46.6,"Chinstrap penguin (Pygoscelis antarctica)"
"286",3775,51.7,"Chinstrap penguin (Pygoscelis antarctica)"
"287",3700,47,"Chinstrap penguin (Pygoscelis antarctica)"
"288",4050,52,"Chinstrap penguin (Pygoscelis antarctica)"
"289",3575,45.9,"Chinstrap penguin (Pygoscelis antarctica)"
"290",4050,50.5,"Chinstrap penguin (Pygoscelis antarctica)"
"291",3300,50.3,"Chinstrap penguin (Pygoscelis antarctica)"
"292",3700,58,"Chinstrap penguin (Pygoscelis antarctica)"
"293",3450,46.4,"Chinstrap penguin (Pygoscelis antarctica)"
"294",4400,49.2,"Chinstrap penguin (Pygoscelis antarctica)"
"295",3600,42.4,"Chinstrap penguin (Pygoscelis antarctica)"
"296",3400,48.5,"Chinstrap penguin (Pygoscelis antarctica)"
"297",2900,43.2,"Chinstrap penguin (Pygoscelis antarctica)"
"298",3800,50.6,"Chinstrap penguin (Pygoscelis antarctica)"
"299",3300,46.7,"Chinstrap penguin (Pygoscelis antarctica)"
"300",4150,52,"Chinstrap penguin (Pygoscelis antarctica)"
"301",3400,50.5,"Chinstrap penguin (Pygoscelis antarctica)"
"302",3800,49.5,"Chinstrap penguin (Pygoscelis antarctica)"
"303",3700,46.4,"Chinstrap penguin (Pygoscelis antarctica)"
"304",4550,52.8,"Chinstrap penguin (Pygoscelis antarctica)"
"305",3200,40.9,"Chinstrap penguin (Pygoscelis antarctica)"
"306",4300,54.2,"Chinstrap penguin (Pygoscelis antarctica)"
"307",3350,42.5,"Chinstrap penguin (Pygoscelis antarctica)"
"308",4100,51,"Chinstrap penguin (Pygoscelis antarctica)"
"309",3600,49.7,"Chinstrap penguin (Pygoscelis antarctica)"
"310",3900,47.5,"Chinstrap penguin (Pygoscelis antarctica)"
"311",3850,47.6,"Chinstrap penguin (Pygoscelis antarctica)"
"312",4800,52,"Chinstrap penguin (Pygoscelis antarctica)"
"313",2700,46.9,"Chinstrap penguin (Pygoscelis antarctica)"
"314",4500,53.5,"Chinstrap penguin (Pygoscelis antarctica)"
"315",3950,49,"Chinstrap penguin (Pygoscelis antarctica)"
"316",3650,46.2,"Chinstrap penguin (Pygoscelis antarctica)"
"317",3550,50.9,"Chinstrap penguin (Pygoscelis antarctica)"
"318",3500,45.5,"Chinstrap penguin (Pygoscelis antarctica)"
"319",3675,50.9,"Chinstrap penguin (Pygoscelis antarctica)"
"320",4450,50.8,"Chinstrap penguin (Pygoscelis antarctica)"
"321",3400,50.1,"Chinstrap penguin (Pygoscelis antarctica)"
"322",4300,49,"Chinstrap penguin (Pygoscelis antarctica)"
"323",3250,51.5,"Chinstrap penguin (Pygoscelis antarctica)"
"324",3675,49.8,"Chinstrap penguin (Pygoscelis antarctica)"
"325",3325,48.1,"Chinstrap penguin (Pygoscelis antarctica)"
"326",3950,51.4,"Chinstrap penguin (Pygoscelis antarctica)"
"327",3600,45.7,"Chinstrap penguin (Pygoscelis antarctica)"
"328",4050,50.7,"Chinstrap penguin (Pygoscelis antarctica)"
"329",3350,42.5,"Chinstrap penguin (Pygoscelis antarctica)"
"330",3450,52.2,"Chinstrap penguin (Pygoscelis antarctica)"
"331",3250,45.2,"Chinstrap penguin (Pygoscelis antarctica)"
"332",4050,49.3,"Chinstrap penguin (Pygoscelis antarctica)"
"333",3800,50.2,"Chinstrap penguin (Pygoscelis antarctica)"
"334",3525,45.6,"Chinstrap penguin (Pygoscelis antarctica)"
"335",3950,51.9,"Chinstrap penguin (Pygoscelis antarctica)"
"336",3650,46.8,"Chinstrap penguin (Pygoscelis antarctica)"
"337",3650,45.7,"Chinstrap penguin (Pygoscelis antarctica)"
"338",4000,55.8,"Chinstrap penguin (Pygoscelis antarctica)"
"339",3400,43.5,"Chinstrap penguin (Pygoscelis antarctica)"
"340",3775,49.6,"Chinstrap penguin (Pygoscelis antarctica)"
"341",4100,50.8,"Chinstrap penguin (Pygoscelis antarctica)"
"342",3775,50.2,"Chinstrap penguin (Pygoscelis antarctica)"
